tempo,saida,entrada
0,83.90419101356521,15.633020716310778
5,84.60292329832082,15.763208447707575
10,84.68796423868653,15.779053267452715
15,83.93959299844134,15.639616810692733
20,84.48589550869421,15.741403841316446
25,84.51296433416661,15.746447302248068
30,84.40668810201852,15.726645925001561
35,84.14509962109918,15.677906784656363
40,83.9797111387997,15.647091618705847
45,84.38409815906255,15.722436969025166
50,83.93953479642975,15.63960596649959
55,84.22352630272236,15.692519236355333
60,84.39854632875486,15.725128950598247
65,84.1353093432257,15.676082661034343
70,84.4706179839314,15.738557334387224
75,83.8943376398671,15.631184836680843
80,84.22725704511656,15.693214347915688
85,84.22363776610086,15.692540004201184
90,83.90322190465666,15.632840152033108
95,84.45671942518065,15.735967756271368
100,83.99481039663225,15.649904910957947
105,84.20642003575611,15.68933199835647
110,84.38372488663715,15.72236742094314
115,84.46514242733113,15.737537129213546
120,84.68298926149195,15.77812633018526
125,83.88489764161605,15.629425977124031
130,84.35917795801466,15.717793839587529
135,84.1826400654343,15.684901316596916
140,84.55796872349922,15.754832515695245
145,84.49966656411306,15.743969663023892
150,83.91144162342334,15.63437164923497
155,84.33628926509205,15.713529220546382
160,84.10699829468139,15.670807749220673
165,84.58177340574076,15.759267801777286
170,84.52627889843058,15.748928070567894
175,83.87489482815631,15.627562253892231
180,84.29152260762946,15.705188301278126
185,84.06246996537605,15.662511235231516
190,84.219656184191,15.691798156246644
195,84.26648305072642,15.700522933469154
200,84.40925369835085,15.72712394666089
205,84.70787088870851,15.782762272550395
210,84.2428051792663,15.696111274759586
215,84.14390258167076,15.677683752386384
220,83.9800789018299,15.647160140277895
225,84.09513672641769,15.668597702974424
230,84.16399852522893,15.681428026637331
235,84.70190079969247,15.781649926145063
240,84.70087749848845,15.78145926476417
245,84.62223054742523,15.766805772484538
250,84.08805386801079,15.667278025484322
255,84.64268816926253,15.770617434597305
260,84.33910459904745,15.714053773295374
265,84.21197244835908,15.690366523333106
270,84.51206812260165,15.746280320196371
275,83.91090535631548,15.634271731999545
280,84.65513066880283,15.772935719902563
285,84.16917854682083,15.682393167756969
290,84.0855016843458,15.666802502871867
295,84.20933837172805,15.689875742431177
300,84.58505591128063,15.759879397890497
305,84.00617310486196,15.65202200965114
310,84.12824255231304,15.674765977238208
315,84.01521764714103,15.653707187889681
320,84.10776579974598,15.670950750689727
325,84.29307468493585,15.705477484171029
330,83.9755107051659,15.646308994319373
335,84.37014043776874,15.71983636775004
340,84.02320624243707,15.655195622188954
345,84.56245067488118,15.7556675924412
350,84.45253657305643,15.735188407670048
355,84.46379311645869,15.737285725742908
360,84.51124644783957,15.746127225834547
365,84.34931143683937,15.715955510320923
370,84.43859723328731,15.732591231238814
375,84.2775297121145,15.70258114634553
380,84.34307646648698,15.714793811250743
385,83.9961383844282,15.650152341515042
390,84.25835977936258,15.699009406338016
395,84.05483801715674,15.661089251380922
400,84.08907215784221,15.66746775314676
405,84.04967908634003,15.660128039892472
410,84.31304859248732,15.709199020685068
415,84.10659259524898,15.670732159341853
420,84.53832846415406,15.751173144482587
425,84.60572653001967,15.7637307455653
430,84.20254028579414,15.68860912372057
435,83.89737639289065,15.6317510168489
440,83.91214949729986,15.634503540226858
445,84.15266614836395,15.679316579281062
450,84.45240626543114,15.735164128765964
455,84.65928518985504,15.7737097898613
460,84.4380440455042,15.732488161344818
465,84.13590753213897,15.676194115534534
470,84.47439286389833,15.739260669655838
475,84.05149283360382,15.660465977106409
480,84.62888075967363,15.768044839384432
485,84.47422004134587,15.739228469374659
490,84.2388424373375,15.69537293706849
495,84.48682144810083,15.74157636225671
500,84.17790891774132,15.684019809618507
505,84.61328850257885,15.765139691557698
510,84.51210378008007,15.746286963894287
515,84.70030001054694,15.781351667267026
520,84.7106042524907,15.783271552624676
525,84.51439446744739,15.746713764541969
530,84.62464222690939,15.767255116371674
535,84.01231368483299,15.653166121914637
540,84.30552226023049,15.70779671519034
545,84.11287867727302,15.671903381533722
550,84.69118041098918,15.779652504363613
555,84.11683341153777,15.672640227237633
